QID6_1,QID6_2,QID6_3,QID7_1,QID7_2,QID7_3,QID8_1,QID8_2,QID8_3,QID11_1,QID11_2,QID11_3,QID11_4,QID11_5,QID11_6,QID13_1,QID13_2,QID13_3,QID13_4,QID13_5,QID13_6,QID13_7,QID13_8,QID13_9,QID13_10,QID13_11,QID28_1,QID28_2,QID28_3,QID28_4,QID28_5,QID27_1,QID27_2,QID27_3,QID14_1,QID14_2,QID14_3,QID14_4,QID14_5,QID14_6,QID14_7,QID14_8,QID17,QID18,QID19,QID20,QID21,QID22,QID23,QID24
7,6,6,7,7,6,6.0,4,3,,7.0,2.0,5.0,6.0,7.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,3.0,1.0,5.0
5,5,6,4,6,4,5.0,5,5,5.0,6.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,7.0,5.0,4.0,6.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0
2,3,2,2,2,2,2.0,2,2,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0,4.0,3.0,6.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0
2,1,4,5,3,1,1.0,1,1,1.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,7.0,7.0,6.0,4.0,1.0,5.0,,,2.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0
4,4,5,3,4,3,3.0,2,2,4.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,6.0,7.0,6.0,5.0,5.0,6.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0
5,5,5,6,7,6,6.0,4,6,7.0,3.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0
7,5,7,6,5,3,4.0,5,3,6.0,6.0,3.0,2.0,6.0,6.0,2.0,5.0,3.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,3.0,2.0,4.0,5.0,6.0,7.0,6.0,6.0,5.0,4.0,3.0,1.0,4.0,3.0,3.0,5.0
6,5,7,3,3,2,6.0,3,4,4.0,3.0,4.0,4.0,6.0,5.0,2.0,5.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,7.0,5.0,6.0,6.0,6.0,3.0,5.0,4.0,4.0,3.0,6.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,5.0
6,6,6,5,3,2,2.0,6,3,6.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,6.0,6.0,6.0,6.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,4.0,1.0,7.0,7.0,7.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0
5,5,6,6,6,4,4.0,4,4,7.0,7.0,4.0,6.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,7.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,6.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0
6,5,5,5,4,4,5.0,4,5,5.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0
5,6,6,5,3,4,3.0,1,4,6.0,6.0,2.0,7.0,3.0,6.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,6.0,6.0,6.0,7.0,6.0,5.0,4.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0
6,6,7,6,6,6,4.0,3,3,6.0,6.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,3.0,2.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,6.0,2.0,5.0,2.0,3.0,1.0,5.0,2.0,2.0,4.0
5,4,4,5,5,7,4.0,2,5,6.0,4.0,5.0,2.0,3.0,4.0,,,,,,,,,,,,2.0,5.0,4.0,5.0,,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,
5,6,4,5,2,6,5.0,1,1,6.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,4.0,4.0,1.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,6.0,7.0,6.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,6.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,4.0
